borough,name,restaurant_id,cuisine,halal,rating,user_id,reviews,lat,lng,place_id
Barking and Dagenham ,Lara Grill ,1,Turkish,Yes,4,,,51.57478,0.174409971,
Barking and Dagenham ,Wood Oven ,2,Turkish,Yes,,,,51.57478,0.174409971,
Barking and Dagenham ,Cristina's Steak ,3,Steak,Yes,,,,51.57478,0.174409971,
Barking and Dagenham ,De Roya,4,Mediterranean ,Yes,,,,51.57478,0.174409971,
Barking and Dagenham ,22 Ventiude ,5,Italian,No,,,,51.57478,0.174409971,
Barking and Dagenham ,River Restaurant ,6,Mediterranean ,Yes,,,,51.57478,0.174409971,
Barking and Dagenham ,Upper Grill Restaurant & Coffee Bar ,7,Grill/Kebab,Yes,,,,51.57478,0.174409971,
Barking and Dagenham ,Eastern Paradise ,8,Modern European ,,,,,51.57478,0.174409971,
Barking and Dagenham ,La Masa Restaurant Romanesc,9,Modern European ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Pitta Santorini,10,Mediterranean ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Balkans - Mediterranean Cuisne and Coffee,11,Mediterranean ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Ariana Restaurant ,12,South Asian ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Thatched House Pub ,13,Modern European ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Nagina Grill & Restaurant ,14,Grill/Kebab,No,,,,51.57478,0.174409971,
Barking and Dagenham ,Bela Lisboa ,15,Italian ,Yes,,,,51.57478,0.174409971,
Barking and Dagenham ,Nando's Barking ,16,Grill/Kebab,,,,,51.57478,0.174409971,
Barking and Dagenham ,Khyber Grill ,17,Grill/Kebab,,,,,51.57478,0.174409971,
Barking and Dagenham ,De lounge ,18,Mediterranean ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Whap Whap Kitchen ,19,Caribbean ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Street Kitchen - Café and Restaurant ,20,Café,,,,,51.57478,0.174409971,
Barking and Dagenham ,Myla's Café & Restaurant ,21,Café,,,,,51.57478,0.174409971,
Barking and Dagenham ,Palwan Da Dera ,22,South Asian ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Blossom Garden ,23,Chinese ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Jerkpit Caribbean Smokey Grill ,24,Caribbean ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Humdum Restaurant ,25,South Asian ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Bayleaf ,26,South Asian ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Charcoal Grill Kebab Dagenham ,27,Grill/Kebab,,,,,51.57478,0.174409971,
Barking and Dagenham ,Grill Villa ,28,Grill/Kebab,,,,,51.57478,0.174409971,
Barking and Dagenham ,Sanjha Chulha ,29,South Asian ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Marinate ,30,South Asian ,,,,,51.57478,0.174409971,
Barking and Dagenham ,German Donner Kebab (GDK),31,Kebab ,,,,,51.57478,0.174409971,
Barking and Dagenham ,The Lucky Inn,32,Chinese ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Indian Curry and Grill ,33,South Asian ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Big Breakfast Café,34,Café,,,,,51.57478,0.174409971,
Barking and Dagenham ,Pizza Pazzi,35,Italian ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Tasty African Food ,36,African ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Angles Kebab Dangenham ,37,Grill/Kebab,,,,,51.57478,0.174409971,
Barking and Dagenham ,Fu Min ,38,Chinese ,,,,,51.57478,0.174409971,
Barking and Dagenham ,George's Fish Bar,39,Fast Food,,,,,51.57478,0.174409971,
Barking and Dagenham ,Abike Oloogun Ebi Kitchen ,40,African ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Sun Sing ,41,Chinese ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Chicken Guys Barking,42,Fast Food,,,,,51.57478,0.174409971,
Barking and Dagenham ,Merhaba ,43,Turkish,,,,,51.57478,0.174409971,
Barking and Dagenham ,Tasty African Food (Green Lane),44,African ,,,,,51.57478,0.174409971,
Barking and Dagenham ,Kebabish ,45,Grill/Kebab,,,,,51.57478,0.174409971,
Barking and Dagenham ,Top Deck Fish & Kebab Restaurant ,46,Fast Food,,,,,51.57478,0.174409971,
Barking and Dagenham ,Royal Dolphin | Dagenham ,47,Fast Food,,,,,51.57478,0.174409971,
Barking and Dagenham ,Roadhouse Grill,48,Grill/Kebab,,,,,51.57478,0.174409971,
Barking and Dagenham ,Donner Box,49,Fast Food,,,,,51.57478,0.174409971,
Barking and Dagenham ,Robin Hood Fish Bar,50,Fast Food,,,,,51.57478,0.174409971,
Barking and Dagenham ,Spice Box ,51,Fast Food,,,,,51.57478,0.174409971,
Barking and Dagenham ,Popeye's Fish and Kebab,52,Fast Food,,,,,51.57478,0.174409971,
Barking and Dagenham ,Spice Hut - Chadwell Heath ,53,Fast Food,,,,,51.57478,0.174409971,
Barnet ,Pinch of Salt ,54,Modern European ,,,,,51.52709499,-0.066825704,
Barnet ,L'artte Restaurant ,55,Italian,,,,,51.52709499,-0.066825704,
Barnet ,Skewd Kitchen ,56,Turkish,,,,,51.52709499,-0.066825704,
Barnet ,Deraliye ,57,Turkish,,,,,51.52709499,-0.066825704,
Barnet ,Deserie Restaurant ,58,Turkish,,,,,51.52709499,-0.066825704,
Barnet ,Bramleys Restaurant ,59,Modern European ,,,,,51.52709499,-0.066825704,
Barnet ,Shakespeare,60,Modern European ,,,,,51.52709499,-0.066825704,
Barnet ,Haven Bistro & Bar,61,Café,,,,,51.52709499,-0.066825704,
Barnet ,Golden Palace,62,Grill/Kebab,,,,,51.52709499,-0.066825704,
Barnet ,Marlo's Brasserie ,63,Modern European ,,,,,51.52709499,-0.066825704,
Barnet ,Grab or Dine ,64,Fast Food,,,,,51.52709499,-0.066825704,
Barnet ,El Vaquero ,65,Italian ,,,,,51.52709499,-0.066825704,
Barnet ,Viet Chefs,66,Pan Asian,,,,,51.52709499,-0.066825704,
Barnet ,Cock Inn,67,Modern European ,,,,,51.52709499,-0.066825704,
Barnet ,Izgara Restaurant ,68,Turkish,,,,,51.52709499,-0.066825704,
Barnet ,Bayleaf Restaurant ,69,South Asian ,,,,,51.52709499,-0.066825704,
Barnet ,Buono Wood Fired Pizza,70,Italian ,,,,,51.52709499,-0.066825704,
Barnet ,Miracles ,71,Café,,,,,51.52709499,-0.066825704,
Barnet ,De Franco Ristorante Italiano ,72,Italian ,,,,,51.52709499,-0.066825704,
Barnet ,Chippers Ltd,73,Fast Food,,,,,51.52709499,-0.066825704,
Barnet ,Grande Café Bar,74,Café,,,,,51.52709499,-0.066825704,
Barnet ,Areti Tandoori ,75,South Asian ,,,,,51.52709499,-0.066825704,
Barnet ,Sofalino ,76,Italian,,,,,51.52709499,-0.066825704,
Barnet ,Builders Arms ,77,Modern European ,,,,,51.52709499,-0.066825704,
Barnet ,Kiyoto Sushi Cockfosters,78,Japanese ,,,,,51.52709499,-0.066825704,
Barnet ,Sunshine Garden Café,79,Café,,,,,51.52709499,-0.066825704,
Barnet ,Istanbul Restaurant Finchley ,80,Turkish,,,,,51.52709499,-0.066825704,
Barnet ,Red Onion ,81,South Asian ,,,,,51.52709499,-0.066825704,
Barnet ,Shayan Grill / Izmir Kebab,82,Grill/Kebab,,,,,51.52709499,-0.066825704,
Barnet ,Tuktuk,83,South Asian ,,,,,51.52709499,-0.066825704,
Barnet ,L'Mour Lounge ,84,Mediterranean ,,,,,51.52709499,-0.066825704,
Barnet ,Thai House ,85,Pan Asian,,,,,51.52709499,-0.066825704,
Barnet ,Tops Fish Bar,86,Fast Food,,,,,51.52709499,-0.066825704,
